"CAINC1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income"
"" 
"Bureau of Economic Analysis" 
"Metropolitan Statistical Area"
"GeoFips","GeoName","LineCode","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",1052627,1095725,1212039,1349916,1518740,1638400,1805963,2038347,2297921,2616066,2903669,3191960,3436150,3640222,3925847,4311669,4700285,5019182,5279965,5775220,6274868,6667023,6758413,7223539,7623930,8170770,8731492,9139407,9635229,10247208,10971447,11797044,12295744,12741541,13319278,13477336,13739787,14244816,14665401,15173227,14224663,15690064,15757892,16837310,16963525,17843290,18972715,19813370,20768333,21734133,22365853
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","2","Population (persons) 1/",223597,234226,236222,241470,246780,256447,251024,253934,257407,259775,262859,264400,262466,260239,260212,260737,262568,266087,269717,273346,279329,283987,287126,290323,291617,293671,297926,303133,308398,312601,318270,324372,328749,332763,336154,339422,342234,344018,345310,341595,343520,345717,349753,352303,356040,360021,362975,366135,368807,369483,367601
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",4708,4678,5131,5590,6154,6389,7194,8027,8927,10071,11046,12072,13092,13988,15087,16536,17901,18863,19576,21128,22464,23477,23538,24881,26144,27823,29308,30150,31243,32780,34472,36369,37402,38290,39623,39707,40147,41407,42470,44419,41409,45384,45054,47792,47645,49562,52270,54115,56312,58823,60843
"Legend / Footnotes:"
"1/ Census Bureau midyear population estimates. Estimates for 2010-2019 reflect county population estimates available as of March 2020."
"2/ Per capita personal income was computed using Census Bureau midyear population estimates. Estimates for 2010-2019 reflect county population estimates available as of March 2020."
"Metropolitan Areas are defined (geographically delineated) by the Office of Management and Budget (OMB) bulletin no. 20-01 issued March 6, 2020."
"Note. All dollar estimates are in thousands of current dollars (not adjusted for inflation). Calculations are performed on unrounded data."
"Last updated: November 17, 2020-- new statistics for 2019; revised statistics for 2010-2018."
